id,prediction
1,7875.525
2,6936.9116
3,19866.309
4,7330.753
5,8524.603
6,14458.24
7,7811.282
8,3246.4192
9,10142.963
10,3743.0356
11,3733.8076
12,5750.081
13,17982.664
14,11824.074
15,7331.0815
16,10576.147
17,9379.333
18,11208.63
19,38836.3
20,7218.8613
21,7845.1147
22,14012.978
23,12739.059
24,13430.5
25,7768.006
26,6364.6455
27,8221.675
28,6464.638
29,8252.549
30,11103.672
31,9537.129
32,9975.537
33,13742.594
34,32480.432
35,8023.7866
36,3009.6528
37,9613.023
38,8475.247
39,6208.81
40,4614.6304
41,4073.913
42,14183.844
43,2917.004
44,6946.4263
45,9684.832
46,5725.3833
47,12509.867
48,22296.18
49,12969.904
50,5624.853
51,5100.3228
52,14287.9
53,14325.394
54,9925.739
55,7611.7456
56,6611.3706
57,12761.235
58,7542.117
59,16178.663
60,6216.0557
61,6250.1206
62,6690.7183
63,5060.5557
64,44688.29
65,9938.216
66,5949.325
67,140911.73
68,5611.6865
69,5604.004
70,8939.678
71,17124.803
72,16547.592
73,10081.826
74,8138.0566
75,6382.3574
76,6624.8823
77,21399.842
78,15789.552
79,11199.136
80,5831.4214
81,5585.0786
82,14080.917
83,9316.322
84,120136.125
85,11135.779
86,33815.49
87,7849.98
88,275613.06
89,11363.628
90,7564.39
91,8977.738
92,12320.217
93,8414.502
94,20947.717
95,6450.929
96,209654.83
97,84660.38
98,39565.793
99,8656.082
100,6795.122
101,10351.773
102,14072.455
103,5103.685
104,17463.36
105,6109.943
106,10803.006
107,8892.075
108,5843.905
109,7987.8047
110,8223.134
111,8881.85
112,7223.835
113,40325.8
114,6439.7515
115,51646.8
116,16997.5
117,8234.786
118,30974.0
119,31105.635
120,7692.4644
121,5520.1157
122,8429.633
123,10403.684
124,7327.7075
125,7108.107
126,95221.54
127,65962.4
128,67031.37
129,10065.645
130,49267.816
131,6034.4106
132,16435.055
133,101065.87
134,9258.089
135,10502.515
136,6866.825
137,13798.518
138,3550.2273
139,6079.86
140,18860.572
141,45174.477
142,7352.471
143,8137.106
144,9448.859
145,8339.076
146,5942.0566
147,5973.1196
148,9698.865
149,150240.61
150,13338.266
151,8227.189
152,131609.72
153,27036.703
154,14522.64
155,41642.207
156,8770.218
157,13083.757
158,7246.0293
159,16374.783
160,7794.5854
161,46452.51
162,6958.5513
163,8967.67
164,7527.808
165,7847.9927
166,82345.74
167,15979.959
168,9549.354
169,7759.532
170,7212.1216
171,6044.5566
172,12718.496
173,11345.318
174,7593.857
175,6797.653
176,12163.727
177,4962.421
178,207327.12
179,8110.1226
180,7677.6934
181,7532.2593
182,53021.293
183,156542.5
184,7676.094
185,9503.7295
186,11000.365
187,3676.9075
188,3895.2683
189,6334.3555
190,7383.0166
191,157175.61
192,43212.06
193,15530.401
194,10291.265
195,4377.956
196,4795.731
197,10112.49
198,9807.649
199,114658.55
200,25532.89
201,72113.79
202,5061.0376
203,10239.949
204,10261.646
205,4844.5044
206,8012.9526
207,6001.0146
208,7577.019
209,41810.39
210,11462.223
211,16254.328
212,8554.382
213,6425.11
214,4365.177
215,46038.496
216,171376.97
217,9510.982
218,17613.867
219,11952.406
220,6454.4395
221,52908.85
222,4049.1077
223,7963.135
224,7053.528
225,7947.6133
226,20953.45
227,10570.021
228,19227.18
229,12196.162
230,18009.428
231,32262.883
232,7997.11
233,8217.396
234,93637.43
235,7782.99
236,123865.41
237,7645.1216
238,6144.8022
239,39592.84
240,13472.698
241,14456.162
242,6164.031
243,6739.8955
244,7472.3955
245,8198.741
246,8972.148
247,13489.463
248,52085.574
249,141846.08
250,7201.37
251,5975.45
252,18407.607
253,9958.186
254,9619.45
255,102934.01
256,5890.441
257,23427.47
258,3744.7307
259,7797.4663
260,7634.873
261,5602.0156
262,7231.2847
263,115384.586
264,6036.4565
265,19038.885
266,44745.098
267,7995.2886
268,8484.752
269,5458.023
270,10197.135
271,14745.171
272,5556.591
273,40730.785
274,51853.836
275,159398.36
276,9506.689
277,5785.1865
278,8637.577
279,4629.8555
280,5952.29
281,5635.0464
282,6755.2476
283,17661.76
284,7898.0493
285,31856.152
286,21213.938
287,9636.641
288,7572.468
289,13522.371
290,15880.911
291,4612.865
292,10929.21
293,6309.5234
294,16378.065
295,4405.399
296,53629.93
297,9654.041
298,13119.059
299,9956.972
300,4028.52
301,5442.242
302,4101.392
303,11987.926
304,8305.776
305,7126.1597
306,5894.464
307,16883.041
308,6834.0635
309,107314.11
310,7543.145
311,81098.195
312,7507.888
313,10803.614
314,8901.82
315,7304.2466
316,6556.494
317,12296.629
318,14044.792
319,9431.286
320,8566.049
321,31815.324
322,7671.704
323,9211.089
324,11064.743
325,4678.691
326,6248.049
327,2915.309
328,20065.5
329,12651.715
330,7955.057
331,102622.05
332,4159.734
333,7776.4272
334,8720.66
335,15583.1
336,11668.692
337,6307.7896
